GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,Sparsity,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,CBS/(A*/SIC) + BP + PC without smart tie breaking using Dynamic Lazy Open List with Heuristic MVC of Cardinal Conflict Graph Heuristic+ID Success,CBS/(A*/SIC) + BP + PC without smart tie breaking using Dynamic Lazy Open List with Heuristic MVC of Cardinal Conflict Graph Heuristic+ID Runtime,CBS/(A*/SIC) + BP + PC without smart tie breaking using Dynamic Lazy Open List with Heuristic MVC of Cardinal Conflict Graph Heuristic+ID Solution Cost,CBS/(A*/SIC) + BP + PC without smart tie breaking using Dynamic Lazy Open List with Heuristic MVC of Cardinal Conflict Graph Heuristic+ID Expanded,CBS/(A*/SIC) + BP + PC without smart tie breaking using Dynamic Lazy Open List with Heuristic MVC of Cardinal Conflict Graph Heuristic+ID Generated,CBS/(A*/SIC) + BP + PC without smart tie breaking using Dynamic Lazy Open List with Heuristic MVC of Cardinal Conflict Graph Heuristic+ID Max Group Size,CBS/(A*/SIC) + BP + PC without smart tie breaking using Dynamic Lazy Open List with Heuristic MVC of Cardinal Conflict Graph Heuristic+ID Min Group Size,CBS/(A*/SIC) + BP + PC without smart tie breaking using Dynamic Lazy Open List with Heuristic MVC of Cardinal Conflict Graph Heuristic+ID Max Group,CBS/(A*/SIC) + BP + PC without smart tie breaking using Dynamic Lazy Open List with Heuristic MVC of Cardinal Conflict Graph Heuristic+ID Solution Depth,
warehouse-10-20-10-2-1,63,161,29,4444,1,1.86264514923096E+20,0.4381347,86.7586206896552,181,10,72.90115,72.31264,0.1832791,0.00508861203719951,1,1196.8675,2518,2831,4586,2,1,2,2,1,708.927299999999,2518,3956,5298,2,1,2,2,1,859.037600000001,2518,2826,4578,2,1,2,2,
warehouse-10-20-10-2-1,63,161,30,4444,1,9.31322574615479E+20,0.4381347,88.5333333333333,181,10,73.91613,74.54839,0.1903776,0.0052640814177926,1,770.0959,2658,3023,4890,2,1,2,2,1,729.7929,2658,4148,5602,2,1,2,2,1,785.9851,2658,3018,4882,2,1,2,2,
warehouse-10-20-10-2-1,63,161,31,4444,1,4.65661287307739E+21,0.4381347,87.8064516129032,181,10,73.18549,75.76613,0.1916593,0.00543955079838568,1,782.486699999998,2724,3107,5007,2,1,2,2,1,729.612800000003,2724,4232,5719,2,1,2,2,1,782.421399999999,2724,3102,4999,2,1,2,2,
warehouse-10-20-10-2-1,63,161,32,4444,1,2.3283064365387E+22,0.4381347,88.5625,181,10,72.52462,75.82386,0.2019127,0.00561502017897877,1,927.966400000001,2836,3226,5197,2,1,2,2,1,1162.3031,2836,4351,5909,2,1,2,2,1,1201.6177,2836,3221,5189,2,1,2,2,
warehouse-10-20-10-2-1,63,161,33,4444,1,1.16415321826935E+23,0.4381347,90.969696969697,181,10,72.54189,78.3886,0.2095041,0.00579048955957185,1,814.192600000002,3004,3605,5690,2,1,2,2,1,825.556400000001,3004,4730,6402,2,1,2,2,1,994.003400000001,3004,3600,5682,2,1,2,2,
warehouse-10-20-10-2-1,63,161,34,4444,1,5.82076609134674E+23,0.4381347,93.5588235294118,181,10,73.64201,80.29916,0.2251799,0.00596595894016494,1,1071.8919,3183,4053,6416,2,1,2,2,1,878.152099999999,3183,5178,7128,2,1,2,2,1,1055.25150000001,3183,4048,6408,2,1,2,2,
warehouse-10-20-10-2-1,63,161,35,4444,1,2.91038304567337E+24,0.4381347,95.6857142857143,181,10,74.48572,81.50476,0.2301094,0.00614142832075803,1,1208.8648,3351,4221,6719,2,1,2,2,1,1167.04519999999,3351,5346,7431,2,1,2,2,1,1436.6924,3351,4216,6711,2,1,2,2,
warehouse-10-20-10-2-1,63,161,36,4444,1,1.45519152283669E+25,0.4381347,95.0555555555556,181,10,73.96397,80.76576,0.2333629,0.00631689770135111,1,1196.4087,3424,4356,6886,2,1,2,2,1,1298.52279999999,3424,5481,7598,2,1,2,2,1,1439.3492,3424,4351,6878,2,1,2,2,
warehouse-10-20-10-2-1,63,161,37,4444,1,7.27595761418343E+25,0.4381347,93.9189189189189,181,10,74.64296,79.9431,0.2341516,0.0064923670819442,1,1575.45970000001,3477,4409,7002,2,1,2,2,1,1423.5901,3477,5534,7714,2,1,2,2,1,1588.186,3477,4404,6994,2,1,2,2,
warehouse-10-20-10-2-1,63,161,38,4444,1,3.63797880709171E+26,0.4381347,95.2894736842105,181,10,74.99326,80.19838,0.2353347,0.00666783646253729,1,1269.07089999999,3623,4689,7446,2,1,2,2,1,1294.53320000001,3623,5814,8158,2,1,2,2,1,1291.23229999999,3623,4684,7438,2,1,2,2,
warehouse-10-20-10-2-1,63,161,39,4444,1,1.81898940354586E+27,0.4381347,93.2564102564103,181,10,75.2718,80.8359,0.2369122,0.00684330584313037,1,1673.2883,3639,4705,7495,2,1,2,2,1,1615.30530000001,3639,5830,8207,2,1,2,2,1,1732.29680000001,3639,4700,7487,2,1,2,2,
warehouse-10-20-10-2-1,63,161,40,4444,1,9.09494701772928E+27,0.4381347,95.775,194,10,75.8439,82.30122,0.2463768,0.00701877522372346,1,1573.3075,3833,5113,8229,2,1,2,2,1,1621.8811,3833,6238,8941,2,1,2,2,1,1752.6759,3833,5108,8221,2,1,2,2,
warehouse-10-20-10-2-1,63,161,41,4444,1,4.54747350886464E+28,0.4381347,96.219512195122,194,10,76.09292,82.01859,0.2481514,0.00719424460431655,1,1988.75390000001,3947,5237,8398,2,1,2,2,1,1322.1661,3947,6362,9110,2,1,2,2,1,1705.64050000001,3947,5232,8390,2,1,2,2,
warehouse-10-20-10-2-1,63,161,42,4444,1,2.27373675443232E+29,0.4381347,96.2619047619048,194,10,76.53599,81.27021,0.2566302,0.00736971398490963,1,2127.08749999999,4045,5456,8762,2,1,2,2,1,2442.39559999999,4045,6581,9474,2,1,2,2,1,2565.36060000001,4045,5451,8754,2,1,2,2,
warehouse-10-20-10-2-1,63,161,43,4444,1,1.13686837721616E+30,0.4381347,97.7209302325581,194,10,76.54968,81.69344,0.264616,0.00754518336550272,1,1429.4572,4204,5908,9437,2,1,2,2,1,1490.0404,4204,7033,10149,2,1,2,2,1,1490.77470000001,4204,5903,9429,2,1,2,2,
warehouse-10-20-10-2-1,63,161,44,4444,1,5.6843418860808E+30,0.4381347,99.5227272727273,194,10,78.23535,81.84647,0.2810805,0.00772065274609581,1,2369.09109999999,4381,6093,9740,2,1,2,2,1,1672.5626,4381,7218,10452,2,1,2,2,1,2006.94990000001,4381,6088,9732,2,1,2,2,
warehouse-10-20-10-2-1,63,161,45,4444,1,2.8421709430404E+31,0.4381347,100.044444444444,194,10,77.8802,82.06956,0.2822636,0.00789612212668889,1,1677.08319999999,4504,6216,9911,2,1,2,2,1,1585.82130000001,4504,7341,10623,2,1,2,2,1,2126.63959999999,4504,6211,9903,2,1,2,2,
warehouse-10-20-10-2-1,63,161,46,4444,1,1.4210854715202E+32,0.4381347,100.717391304348,194,10,77.48011,82.25254,0.2918269,0.00807159150728198,1,2157.84230000002,4635,6347,10080,2,1,2,2,1,2452.75819999998,4635,7472,10792,2,1,2,2,1,2329.86499999999,4635,6342,10072,2,1,2,2,
warehouse-10-20-10-2-1,63,161,47,4444,1,7.105427357601E+32,0.4381347,99.936170212766,194,10,76.82624,81.73404,0.2918269,0.00824706088787507,1,2462.88430000003,4699,6411,10166,2,1,2,2,1,2492.90249999997,4699,7536,10878,2,1,2,2,1,2877.25220000005,4699,6406,10158,2,1,2,2,
warehouse-10-20-10-2-1,63,161,48,4444,1,3.5527136788005E+33,0.4381347,99.0416666666667,194,10,77.67942,81.16582,0.2937987,0.00842253026846815,1,2348.4375,4756,6468,10254,2,1,2,2,1,2696.1238,4756,7593,10966,2,1,2,2,1,2673.31670000002,4756,6463,10246,2,1,2,2,
warehouse-10-20-10-2-1,63,161,49,4444,1,1.77635683940025E+34,0.4381347,98.1632653061225,194,10,78.20408,81.62775,0.2983338,0.00859799964906124,1,2612.29359999998,4812,6524,10376,2,1,2,2,1,2699.45860000001,4812,7649,11088,2,1,2,2,1,2715.96659999999,4812,6519,10368,2,1,2,2,
warehouse-10-20-10-2-1,63,161,50,4444,1,8.88178419700125E+34,0.4381347,96.4,194,10,78.0549,81.75059,0.2991225,0.00877346902965432,1,3408.95550000004,4822,6534,10407,2,1,2,2,1,5029.41889999999,4822,7659,11119,2,1,2,2,1,5202.94839999999,4822,6529,10399,2,1,2,2,
warehouse-10-20-10-2-1,63,161,51,4444,1,4.44089209850063E+35,0.4381347,97.7254901960784,194,10,79.47059,82.1825,0.314897,0.00894893841024741,1,2795.13630000001,4987,6969,11099,2,1,2,3,1,3082.26490000001,4987,10781,14498,2,1,2,3,0,300012.9483,-1,6959,11085,2,1,2,0,
warehouse-10-20-10-2-1,63,161,52,4444,1,2.22044604925031E+36,0.4381347,97.1730769230769,194,10,78.93324,82.65675,0.3167702,0.0091244077908405,1,2630.2635,5056,7060,11238,2,1,2,3,1,3101.16210000007,5056,10872,14637,2,1,2,3,0,300000,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,
warehouse-10-20-10-2-1,63,161,53,4444,1,1.11022302462516E+37,0.4381347,98.3584905660377,194,10,79.07617,83.26625,0.3305728,0.00929987717143358,1,2091.99670000002,5216,7635,12122,2,1,2,3,1,2831.07779999997,5216,11447,15521,2,1,2,3,0,300000,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,
warehouse-10-20-10-2-1,63,161,54,4444,1,5.55111512312578E+37,0.4381347,96.7222222222222,194,10,80.14074,83.69427,0.3306714,0.00947534655202667,1,2908.26800000004,5226,7645,12153,2,1,2,3,1,3217.25320000004,5226,11457,15552,2,1,2,3,0,300000,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,
warehouse-10-20-10-2-1,63,161,55,4444,1,2.77555756156289E+38,0.4381347,97.4909090909091,194,10,80.12467,83.75974,0.3314601,0.00965081593261976,1,4587.18060000008,5365,7969,12582,2,1,2,3,1,5172.01029999997,5365,11781,15981,2,1,2,3,0,300000,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,
warehouse-10-20-10-2-1,63,161,56,4444,1,1.38777878078145E+39,0.4381347,98.0178571428571,194,10,79.71805,83.849,0.3354037,0.00982628531321285,1,4087.84210000001,5492,8115,12784,2,1,2,3,1,4841.72640000004,5492,11927,16183,2,1,2,3,0,300000,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,
warehouse-10-20-10-2-1,63,161,57,4444,1,6.93889390390723E+39,0.4381347,96.4736842105263,194,10,80.11858,83.67211,0.3360938,0.0100017546938059,1,2781.75760000001,5502,8129,12821,2,1,2,3,1,2678.78220000002,5502,11941,16220,2,1,2,3,0,300000,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,
warehouse-10-20-10-2-1,63,161,58,4444,1,3.46944695195361E+40,0.4381347,95.5,194,10,79.59322,83.4851,0.33846,0.010177224074399,1,2954.06079999998,5542,8169,12885,2,1,2,3,1,3534.74089999998,5542,11981,16284,2,1,2,3,0,300000,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,
warehouse-10-20-10-2-1,63,161,59,4444,1,1.73472347597681E+41,0.4381347,96.2542372881356,194,10,79.7548,83.51978,0.3400375,0.0103526934549921,1,3855.99650000001,5682,8507,13308,2,1,2,3,1,3559.44379999989,5682,12319,16707,2,1,2,3,0,300000,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,
warehouse-10-20-10-2-1,63,161,60,4444,1,8.67361737988404E+41,0.4381347,95.5666666666667,194,10,79.55464,82.99508,0.3405304,0.0105281628355852,1,3390.39319999993,5737,8562,13391,2,1,2,3,1,3861.15869999991,5737,12374,16790,2,1,2,3,0,300000,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,
warehouse-10-20-10-2-1,63,161,61,4444,1,4.33680868994202E+42,0.4381347,97.1475409836066,194,10,80.50555,83.29984,0.342305,0.0107036322161783,1,3935.07090000005,5929,8965,14088,2,1,2,3,1,4061.06699999992,5929,12777,17487,2,1,2,3,0,300000,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,
warehouse-10-20-10-2-1,63,161,62,4444,1,2.16840434497101E+43,0.4381347,95.7741935483871,194,10,80.5914,83.25704,0.3428966,0.0108791015967714,1,3620.42330000002,5941,8977,14125,2,1,2,3,1,4199.59160000004,5941,12789,17524,2,1,2,3,0,300000,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,
warehouse-10-20-10-2-1,63,161,63,4444,1,1.0842021724855E+44,0.4381347,96.5555555555556,194,10,80.50397,83.46627,0.3455585,0.0110545709773644,1,3597.17280000006,6086,9200,14420,2,1,2,3,1,4115.49080000003,6086,13012,17819,2,1,2,3,0,300000,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,
warehouse-10-20-10-2-1,63,161,64,4444,1,5.42101086242752E+44,0.4381347,96.046875,194,10,80.16586,83.80481,0.34615,0.0112300403579575,1,3857.97529999982,6150,9264,14532,2,1,2,3,1,4479.55829999992,6150,13076,17931,2,1,2,3,0,300000,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,irrelevant,
